epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.815,1.05508,2.68546,1.23251,0.31551,0.43861,0.29531,0.2102,1.00175,1.97715,1.17902,0.00332534,0.00332534,0.00332534
2,600.814,1.06078,2.04292,1.22498,0.36959,0.4307,0.34692,0.23874,1.07791,1.77919,1.21715,0.00659275,0.00659275,0.00659275
3,908.603,1.14983,1.92678,1.2776,0.30463,0.3758,0.25771,0.17011,1.26164,2.0265,1.42785,0.00979416,0.00979416,0.00979416
4,1221.95,1.21778,1.89588,1.33179,0.37734,0.38522,0.34477,0.23257,1.18525,1.85649,1.32512,0.009703,0.009703,0.009703
5,1529.22,1.16516,1.75932,1.29834,0.42152,0.43526,0.38687,0.26676,1.08306,1.64108,1.26793,0.009604,0.009604,0.009604
6,1837.89,1.11989,1.64918,1.27081,0.40843,0.46878,0.41692,0.29488,1.05373,1.60229,1.24334,0.009505,0.009505,0.009505
7,2141.32,1.07748,1.57241,1.24526,0.45809,0.45623,0.43073,0.29879,1.09432,1.52259,1.26549,0.009406,0.009406,0.009406
8,2451.32,1.04556,1.5256,1.22378,0.4965,0.48702,0.47466,0.35055,0.96681,1.39295,1.18001,0.009307,0.009307,0.009307
9,2754.83,1.02995,1.4772,1.21772,0.53379,0.54356,0.54389,0.40788,0.90724,1.27288,1.14176,0.009208,0.009208,0.009208
10,3058.08,1.00792,1.43958,1.20296,0.53685,0.52314,0.53221,0.39603,0.91991,1.25697,1.13491,0.009109,0.009109,0.009109
11,3362.61,0.98748,1.39279,1.1929,0.52689,0.53173,0.54983,0.41705,0.88119,1.25365,1.11794,0.00901,0.00901,0.00901
12,3667.76,0.98041,1.36565,1.18333,0.59157,0.53377,0.57679,0.43343,0.8771,1.18829,1.11756,0.008911,0.008911,0.008911
13,3971.71,0.96625,1.3414,1.17655,0.60669,0.55014,0.59002,0.43708,0.87903,1.1607,1.11308,0.008812,0.008812,0.008812
14,4277.79,0.95326,1.31776,1.17436,0.61705,0.54957,0.59299,0.44959,0.8486,1.17788,1.0992,0.008713,0.008713,0.008713
15,4581.14,0.94709,1.28889,1.16647,0.60361,0.5493,0.58752,0.45145,0.82749,1.16993,1.07673,0.008614,0.008614,0.008614
16,4887.09,0.93588,1.27765,1.16217,0.61331,0.58,0.62779,0.48368,0.81794,1.08627,1.0777,0.008515,0.008515,0.008515
17,5191.33,0.91465,1.25322,1.15357,0.63038,0.57728,0.61922,0.48217,0.80865,1.10588,1.08283,0.008416,0.008416,0.008416
18,5497.28,0.9139,1.23838,1.15155,0.63267,0.57145,0.62831,0.49084,0.79824,1.092,1.06794,0.008317,0.008317,0.008317
19,5800.86,0.90556,1.21006,1.14795,0.65317,0.57818,0.6465,0.50264,0.7788,1.03277,1.0552,0.008218,0.008218,0.008218
20,6106.43,0.89417,1.19179,1.14167,0.67557,0.60091,0.67338,0.52797,0.77837,0.98039,1.05246,0.008119,0.008119,0.008119
21,6409.78,0.89425,1.17876,1.13604,0.6715,0.57568,0.6573,0.51397,0.76913,0.99434,1.04653,0.00802,0.00802,0.00802
22,6714.22,0.88639,1.16551,1.13407,0.64978,0.6018,0.66603,0.5215,0.76707,0.98186,1.04706,0.007921,0.007921,0.007921
23,7018.91,0.87621,1.14423,1.12786,0.68627,0.63199,0.69525,0.55733,0.74224,0.93449,1.03031,0.007822,0.007822,0.007822
24,7323.26,0.8749,1.13997,1.12578,0.70147,0.61304,0.69362,0.55192,0.74525,0.95006,1.03492,0.007723,0.007723,0.007723
25,7625.8,0.86111,1.12186,1.12001,0.71468,0.62103,0.70148,0.56263,0.72781,0.92287,1.02903,0.007624,0.007624,0.007624
26,7930.06,0.86188,1.11326,1.11913,0.7183,0.60567,0.69551,0.55602,0.72167,0.92679,1.02323,0.007525,0.007525,0.007525
27,8231.86,0.86885,1.11043,1.12384,0.73415,0.64373,0.72109,0.58052,0.71467,0.88629,1.01413,0.007426,0.007426,0.007426
28,8532.66,0.85254,1.08762,1.11471,0.76775,0.61499,0.71795,0.57805,0.71319,0.88051,1.01542,0.007327,0.007327,0.007327
29,8840.46,0.84402,1.07975,1.10971,0.73766,0.63523,0.72207,0.58361,0.69981,0.87495,1.0097,0.007228,0.007228,0.007228
30,9144.88,0.84407,1.06904,1.10962,0.72969,0.65273,0.73302,0.59449,0.6921,0.85255,1.00062,0.007129,0.007129,0.007129
31,9448.14,0.832,1.05183,1.10209,0.75959,0.64876,0.74681,0.6089,0.68648,0.82739,0.99931,0.00703,0.00703,0.00703
32,9748.87,0.83129,1.04529,1.09809,0.73594,0.64641,0.73703,0.59826,0.68221,0.83744,0.99816,0.006931,0.006931,0.006931
33,10051.7,0.82372,1.0332,1.09634,0.73019,0.65274,0.74017,0.60489,0.67734,0.83675,0.99736,0.006832,0.006832,0.006832
34,10357.5,0.82564,1.03339,1.09546,0.74652,0.64193,0.73922,0.60658,0.68419,0.82788,1.00041,0.006733,0.006733,0.006733
35,10659.9,0.81636,1.02658,1.09803,0.75172,0.64792,0.74725,0.60979,0.67784,0.81233,0.99612,0.006634,0.006634,0.006634
36,10961.7,0.81104,0.99698,1.08704,0.77304,0.6477,0.75516,0.62064,0.6661,0.80375,0.99202,0.006535,0.006535,0.006535
