epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.117,1.05176,2.92874,1.24123,0.17949,0.55575,0.16029,0.11023,0.96917,2.2894,1.19694,0.00332526,0.00332526,0.00332526
2,568.392,1.06829,2.40478,1.2274,0.18153,0.49779,0.14677,0.09909,1.07394,2.1487,1.24058,0.00659268,0.00659268,0.00659268
3,852.579,1.16414,2.29548,1.28558,0.15856,0.39834,0.12549,0.07503,1.31784,2.38544,1.45972,0.00979409,0.00979409,0.00979409
4,1141.06,1.24341,2.24177,1.34681,0.17768,0.47243,0.14409,0.0955,1.21772,2.12764,1.37066,0.009703,0.009703,0.009703
5,1425.73,1.17229,2.11749,1.30044,0.17755,0.53219,0.161,0.11118,1.07491,2.01468,1.27719,0.009604,0.009604,0.009604
6,1700.72,1.12153,2.04263,1.27677,0.18554,0.58773,0.1648,0.11319,1.0313,1.91586,1.21239,0.009505,0.009505,0.009505
7,1972.83,1.08882,1.99069,1.25545,0.18144,0.59863,0.16816,0.11568,1.0151,1.90607,1.19737,0.009406,0.009406,0.009406
8,2245.28,1.06574,1.96144,1.23842,0.18959,0.62876,0.18036,0.12959,0.95433,1.7915,1.17363,0.009307,0.009307,0.009307
9,2519.5,1.03434,1.92649,1.22658,0.19309,0.61002,0.18211,0.13149,0.93274,1.79485,1.152,0.009208,0.009208,0.009208
10,2792.62,1.01161,1.8938,1.21211,0.18939,0.64794,0.18352,0.13325,0.91041,1.76658,1.14585,0.009109,0.009109,0.009109
11,3065.68,0.9936,1.87008,1.1999,0.19171,0.66801,0.19553,0.144,0.87397,1.70611,1.11713,0.00901,0.00901,0.00901
12,3337.9,0.98383,1.8659,1.19534,0.20122,0.6511,0.21001,0.15558,0.82818,1.67823,1.09456,0.008911,0.008911,0.008911
13,3602.52,0.96743,1.84458,1.18897,0.1942,0.65877,0.19237,0.14204,0.8734,1.71862,1.14139,0.008812,0.008812,0.008812
14,3870.6,0.95212,1.8262,1.17768,0.19826,0.65512,0.20895,0.15511,0.82675,1.67665,1.09072,0.008713,0.008713,0.008713
15,4139.98,0.94244,1.80943,1.17046,0.20557,0.65471,0.20828,0.15546,0.81491,1.67423,1.07707,0.008614,0.008614,0.008614
16,4407.09,0.93614,1.8017,1.16722,0.20304,0.69267,0.22068,0.16609,0.78546,1.63579,1.06437,0.008515,0.008515,0.008515
17,4679.1,0.9271,1.79716,1.16084,0.21625,0.62792,0.2196,0.16618,0.79866,1.64564,1.07579,0.008416,0.008416,0.008416
18,4949.21,0.92609,1.78871,1.16066,0.21096,0.6214,0.22433,0.17149,0.79233,1.64613,1.06963,0.008317,0.008317,0.008317
19,5215.35,0.91764,1.77732,1.15856,0.21573,0.64298,0.23605,0.18322,0.76556,1.60308,1.05178,0.008218,0.008218,0.008218
20,5482.13,0.90164,1.76084,1.14709,0.21917,0.6185,0.23904,0.18465,0.75421,1.59271,1.04165,0.008119,0.008119,0.008119
21,5746.66,0.8894,1.75232,1.14138,0.22263,0.62872,0.2374,0.18217,0.75101,1.58889,1.04492,0.00802,0.00802,0.00802
22,6011.1,0.88422,1.73727,1.13462,0.22726,0.63151,0.2496,0.19251,0.74336,1.57024,1.03961,0.007921,0.007921,0.007921
23,6274.9,0.87318,1.72046,1.12835,0.22654,0.63565,0.24839,0.19286,0.74317,1.56973,1.03678,0.007822,0.007822,0.007822
24,6643.63,0.87107,1.71842,1.13283,0.23531,0.63526,0.25122,0.19685,0.72486,1.5663,1.02435,0.007723,0.007723,0.007723
25,6923.68,0.86993,1.71373,1.12765,0.23436,0.6373,0.262,0.20363,0.72678,1.53495,1.03655,0.007624,0.007624,0.007624
26,7187.14,0.86659,1.70644,1.12767,0.2359,0.60643,0.26753,0.2106,0.71103,1.53907,1.02301,0.007525,0.007525,0.007525
27,7452.43,0.85929,1.69783,1.12324,0.25124,0.61479,0.27605,0.21799,0.69831,1.5164,1.01467,0.007426,0.007426,0.007426
28,7718.28,0.86052,1.6963,1.12267,0.24739,0.61998,0.27031,0.21176,0.71485,1.53029,1.01906,0.007327,0.007327,0.007327
29,7989.84,0.85224,1.68482,1.11669,0.2515,0.61516,0.28374,0.22109,0.70054,1.51395,1.016,0.007228,0.007228,0.007228
30,8260.48,0.84209,1.67143,1.11297,0.24837,0.63261,0.28455,0.22222,0.69403,1.50902,1.0147,0.007129,0.007129,0.007129
31,8527.6,0.8394,1.66005,1.10665,0.26498,0.60234,0.2937,0.23376,0.69172,1.49889,1.01068,0.00703,0.00703,0.00703
32,8793.54,0.83817,1.65646,1.10881,0.25733,0.61946,0.28916,0.22944,0.67822,1.49909,1.00071,0.006931,0.006931,0.006931
33,9057.01,0.83686,1.65382,1.10658,0.26691,0.60935,0.30108,0.23894,0.6801,1.4788,0.99891,0.006832,0.006832,0.006832
34,9318.74,0.82694,1.63965,1.09703,0.27115,0.57965,0.31172,0.24695,0.67756,1.47012,0.99984,0.006733,0.006733,0.006733
35,9584.47,0.82905,1.63757,1.1044,0.2844,0.58864,0.32168,0.25606,0.66673,1.45941,0.99522,0.006634,0.006634,0.006634
36,9847.43,0.8155,1.63139,1.09802,0.27389,0.59698,0.32218,0.25658,0.66548,1.45371,0.99403,0.006535,0.006535,0.006535
37,10110.8,0.81048,1.63246,1.09721,0.28225,0.58805,0.33217,0.26329,0.66224,1.45422,0.99011,0.006436,0.006436,0.006436
38,10374.2,0.81623,1.60676,1.09688,0.29019,0.5897,0.33782,0.27133,0.65888,1.44167,0.99108,0.006337,0.006337,0.006337
